ACQUIRE cid:1483700896 	 lid:0
RELEASE cid:1483700896 	 lid:0
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1483700896 	 lid:1
RELEASE cid:1483700896 	 lid:1
ACQUIRE cid:1210648756 	 lid:0
RELEASE cid:1210648756 	 lid:0
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:2
RELEASE cid:1210648756 	 lid:2
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:1
RELEASE cid:1210648756 	 lid:1
ACQUIRE cid:1210648756 	 lid:3
RELEASE cid:1210648756 	 lid:3
ACQUIRE cid:1910071113 	 lid:0
RELEASE cid:1910071113 	 lid:0
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
RELEASE cid:1910071113 	 lid:1
ACQUIRE cid:1910071113 	 lid:1
